population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,Demographic ID
1782115.0,168.155,,,,9795.834,0.6,108
4250114.0,232.128,33.7,2.345,1.114,65530.537,,109
6527743.0,32.333,26.3,4.489,2.882,3393.474,1.4,110
7425058.0,29.715,24.4,4.029,2.322,6397.36,22.7,111
1873919.0,31.212,43.9,19.754,14.136,25063.846,0.7,112
5592631.0,594.561,31.1,8.514,5.43,13367.565,,113
2281454.0,73.562,22.2,4.506,2.647,2851.153,59.6,114
5193416.0,49.127,19.2,3.057,1.756,752.788,38.6,115
6735277.0,3.623,29.0,4.424,2.816,17881.509,,116
39039.0,237.012,,,,,,117
2786651.0,45.135,43.5,19.002,13.778,29524.265,0.7,118
639321.0,231.447,39.7,14.312,9.842,94277.965,0.2,119
686607.0,20546.766,39.2,9.798,4.991,104861.851,,120
28915653.0,43.951,19.6,2.929,1.686,1416.44,77.6,121
19889742.0,197.519,18.1,2.979,1.783,1095.042,71.4,122
33573874.0,96.254,29.9,6.293,3.407,26808.164,0.1,123
521458.0,1454.433,30.6,4.12,2.875,15183.616,,124
21904983.0,15.196,16.4,2.519,1.486,2014.306,,125
526748.0,1454.037,42.4,19.426,11.324,36513.323,0.2,126
42050.0,295.15,,,,3819.202,,127
4614974.0,4.289,20.3,3.138,1.792,3597.633,6.0,128
1298915.0,622.962,37.4,10.945,5.884,20292.745,0.5,129
126705138.0,66.444,29.3,6.857,4.321,17336.469,2.5,130
113131.0,150.777,23.0,4.81,2.392,3299.464,16.0,131
3061506.0,123.655,37.6,10.864,6.955,5189.972,0.2,132
36686.0,19347.5,,,,,,133
3347782.0,1.98,28.6,4.031,2.421,11840.846,0.5,134
627859.0,46.28,39.1,14.762,9.395,16409.288,1.0,135
4417.0,,,,,,,136
37076584.0,80.08,29.6,6.769,4.209,7485.013,1.0,137
32077072.0,37.728,17.7,3.158,1.87,1136.103,62.9,138
53798084.0,81.721,29.1,5.732,3.12,5591.597,6.4,139
2530151.0,3.078,22.0,3.552,2.085,9541.808,13.4,140
12512.0,682.45,,,,12895.635,,141
30034989.0,204.43,25.0,5.809,3.212,2442.804,15.0,142
17501696.0,508.544,43.2,18.779,11.881,48472.545,,143
287800.0,15.342,33.4,9.954,6.489,,,144
5129728.0,18.206,37.9,15.322,9.72,36085.843,,145
6850540.0,51.667,27.3,5.445,3.519,5321.444,3.2,146
25252722.0,16.955,15.1,2.553,1.378,926.0,44.5,147
213401323.0,209.588,18.1,2.751,1.447,5338.454,,148
1937.0,,,,,,,149
25971909.0,211.701,35.3,9.491,6.139,,,150
2103330.0,82.6,39.1,13.26,8.16,13111.214,5.0,151
,,,,,,,152
49481.0,119.878,,,,,,153
5403021.0,14.462,39.7,16.821,10.813,64800.057,0.2,154
4520471.0,14.98,30.7,2.355,1.53,37960.709,,155
231402116.0,255.573,23.5,4.495,2.78,5034.708,4.0,156
18024.0,47.237,,,,13240.405,,157
5133392.0,778.202,20.4,3.043,1.726,4449.898,1.0,158
4351267.0,55.133,29.7,7.918,5.03,22267.037,2.2,159
9949437.0,18.22,22.6,3.808,2.142,3823.194,,160
6703799.0,17.144,26.5,6.378,3.833,8827.01,1.7,161
33715472.0,25.129,29.1,7.151,4.455,12236.706,3.5,162
113880328.0,351.873,25.2,4.803,2.661,7599.188,,163
47.0,,,,,,,164
38307726.0,124.027,41.8,16.763,10.202,27216.445,,165
10290103.0,112.371,46.2,21.502,14.924,27936.896,0.5,166
3256028.0,376.232,38.2,15.168,9.829,35044.67,,167
2688235.0,227.322,31.9,1.307,0.617,116935.6,,168
19328560.0,85.129,43.0,17.85,11.69,23313.199,5.7,169
145102755.0,8.823,39.6,14.178,9.393,24765.954,0.1,170
13461888.0,494.869,20.3,2.974,1.642,1854.211,56.0,171
5404.0,,,,,,,172
47606.0,212.865,,,,24654.385,,173
179652.0,293.187,34.9,9.721,6.405,12951.839,,174
5883.0,,,,,,,175
104332.0,281.787,31.8,7.724,4.832,10727.146,,176
218764.0,69.413,22.0,5.606,3.564,6021.557,,177
33746.0,556.667,,,,56861.47,,178
223107.0,212.841,18.7,2.886,2.162,3052.714,32.3,179
35950396.0,15.322,31.9,3.295,1.845,49045.411,,180
16876720.0,82.328,18.7,3.008,1.796,2470.58,38.0,181
6871547.0,80.291,41.2,17.366,,14048.881,,182
106470.0,208.354,36.2,8.606,5.586,26382.287,1.1,183
8420641.0,104.7,19.1,2.538,1.285,1390.3,52.2,184
5453600.0,7915.731,42.4,12.922,7.049,85535.383,,185
44042.0,1209.088,,,,36327.232,,186
5447622.0,113.128,41.2,15.07,9.167,30155.152,0.7,187
2119410.0,102.619,44.5,19.062,12.93,31400.84,,188
707851.0,21.841,20.8,3.507,2.043,2205.923,25.1,189
17065581.0,23.5,16.8,2.731,1.496,,,190
59392255.0,46.754,27.3,5.344,3.053,12294.876,18.9,191
51830139.0,527.967,43.4,13.914,8.622,35938.374,0.2,192
10748272.0,,19.2,3.441,2.032,1569.888,,193
47486935.0,93.105,45.5,19.436,13.799,34272.36,1.0,194
21773441.0,341.955,34.1,10.069,5.331,11669.077,0.7,195
45657202.0,23.258,19.7,3.548,2.034,4466.507,,196
612984.0,3.612,29.6,6.933,4.229,13767.119,,197
10467097.0,24.718,41.0,19.985,13.433,46949.283,0.5,198
8691406.0,214.243,43.1,18.436,12.644,57410.166,,199
21324367.0,,21.7,,2.577,,,200
23859912.0,,42.2,,8.353,,,201
9750064.0,64.281,23.3,3.466,2.155,2896.913,4.8,202
63588334.0,64.699,17.7,3.108,1.874,2683.304,49.1,203
71601103.0,135.132,40.1,11.373,6.89,16277.671,0.1,204
1320942.0,87.176,18.0,3.556,1.897,6570.102,30.3,205
8644829.0,143.366,19.4,2.839,1.525,1429.813,49.2,206
1849.0,,,,,,,207
106017.0,150.028,22.3,5.82,4.032,5425.621,,208
1525663.0,266.886,36.2,10.014,5.819,28763.071,,209
12262946.0,74.228,32.7,8.001,5.075,10849.297,2.0,210
84775404.0,104.914,31.6,8.153,5.061,25129.341,0.2,211
6341855.0,12.253,26.9,4.277,2.541,16389.023,,212
45114.0,37.312,,,,,,213
11204.0,373.067,,,,3575.104,3.3,214
45853778.0,213.759,16.4,2.168,1.308,1697.707,41.6,215
43531422.0,77.39,41.4,16.462,11.133,7894.393,0.1,216
9365144.0,112.442,34.0,1.144,0.526,67293.483,,217
67281040.0,272.898,40.8,18.517,12.527,39753.244,0.2,218
336997624.0,35.608,38.3,15.413,9.732,54225.446,1.2,219
100091.0,306.48,42.2,18.601,10.799,,,220
3426260.0,19.751,35.6,14.655,10.361,20551.409,0.1,221
34081449.0,76.134,28.2,4.469,2.873,6253.104,,222
319136.0,22.662,23.1,4.394,2.62,2921.909,13.2,223
511.0,,,,,,,224
28199866.0,36.253,29.0,6.614,3.915,16745.022,,225
97468028.0,308.127,32.6,7.15,4.718,6171.884,2.0,226
11627.0,,,,,,,227
565581.0,,28.4,,1.38,,,228
32981641.0,53.508,20.3,2.922,1.583,1479.147,18.8,229
19473125.0,22.995,17.7,2.48,1.542,3689.251,57.5,230
15993524.0,42.729,19.6,2.822,1.882,1899.775,21.4,231
