population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,Demographic ID
83408554.0,237.016,46.6,21.453,15.957,45229.245,,80
32833031.0,126.719,21.1,3.385,1.948,4227.63,12.0,81
32670.0,3457.1,,,,,,82
10445365.0,83.479,45.3,20.396,14.524,24574.382,1.5,83
56243.0,0.137,,,,,,84
124610.0,317.132,29.4,7.304,5.021,13593.877,,85
170534.0,304.128,31.4,9.551,5.493,,,86
17608483.0,157.834,22.9,4.694,3.016,7423.808,8.7,87
63065.0,,,,,,,88
13531906.0,51.755,19.0,3.135,1.733,1998.926,35.3,89
2060721.0,66.191,19.4,3.002,1.565,1548.675,67.1,90
804567.0,3.952,26.3,5.305,2.837,7435.047,,91
11447569.0,398.448,24.3,4.8,2.954,1653.173,23.5,92
1241374280.0,,,,,,,93
10278346.0,82.805,24.9,4.652,2.883,4541.795,16.0,94
7494578.0,7039.714,44.8,16.303,10.158,56054.92,,95
9709786.0,108.043,43.4,18.577,11.976,26777.561,0.5,96
370335.0,3.404,37.3,14.431,9.207,46482.958,0.2,97
1407563842.0,450.419,28.2,5.989,3.414,6426.674,21.2,98
273753191.0,145.725,29.3,5.319,3.053,11188.744,5.7,99
,,,,,,,100
87923432.0,49.831,32.4,5.44,3.182,19082.62,0.2,101
43533592.0,88.125,20.0,3.186,1.957,15663.986,2.5,102
4986526.0,69.874,38.7,13.928,8.678,67335.293,0.2,103
84263.0,147.872,,,,,,104
9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,105
59240330.0,205.859,47.9,23.021,16.24,35220.084,2.0,106
2827694.0,266.879,31.4,9.684,6.39,8193.571,,107
124612530.0,347.778,48.2,27.049,18.493,39002.223,,108
109618.0,,,,,,,109
11148278.0,109.285,23.2,3.81,2.361,8337.49,0.1,110
19196465.0,6.681,30.6,6.991,4.625,24055.588,0.1,111
53005614.0,87.324,20.0,2.686,1.528,2993.028,36.8,112
128874.0,143.701,23.2,3.895,2.21,1981.132,,113
1782115.0,168.155,,,,9795.834,0.6,114
4250114.0,232.128,33.7,2.345,1.114,65530.537,,115
6527743.0,32.333,26.3,4.489,2.882,3393.474,1.4,116
7425058.0,29.715,24.4,4.029,2.322,6397.36,22.7,117
1873919.0,31.212,43.9,19.754,14.136,25063.846,0.7,118
5592631.0,594.561,31.1,8.514,5.43,13367.565,,119
2281454.0,73.562,22.2,4.506,2.647,2851.153,59.6,120
5193416.0,49.127,19.2,3.057,1.756,752.788,38.6,121
6735277.0,3.623,29.0,4.424,2.816,17881.509,,122
39039.0,237.012,,,,,,123
2786651.0,45.135,43.5,19.002,13.778,29524.265,0.7,124
701926970.0,,,,,,,125
3363196660.0,,,,,,,126
639321.0,231.447,39.7,14.312,9.842,94277.965,0.2,127
686607.0,20546.766,39.2,9.798,4.991,104861.851,,128
28915653.0,43.951,19.6,2.929,1.686,1416.44,77.6,129
19889742.0,197.519,18.1,2.979,1.783,1095.042,71.4,130
33573874.0,96.254,29.9,6.293,3.407,26808.164,0.1,131
521458.0,1454.433,30.6,4.12,2.875,15183.616,,132
21904983.0,15.196,16.4,2.519,1.486,2014.306,,133
526748.0,1454.037,42.4,19.426,11.324,36513.323,0.2,134
42050.0,295.15,,,,3819.202,,135
4614974.0,4.289,20.3,3.138,1.792,3597.633,6.0,136
1298915.0,622.962,37.4,10.945,5.884,20292.745,0.5,137
126705138.0,66.444,29.3,6.857,4.321,17336.469,2.5,138
113131.0,150.777,23.0,4.81,2.392,3299.464,16.0,139
3061506.0,123.655,37.6,10.864,6.955,5189.972,0.2,140
36686.0,19347.5,,,,,,141
3347782.0,1.98,28.6,4.031,2.421,11840.846,0.5,142
627859.0,46.28,39.1,14.762,9.395,16409.288,1.0,143
4417.0,,,,,,,144
37076584.0,80.08,29.6,6.769,4.209,7485.013,1.0,145
32077072.0,37.728,17.7,3.158,1.87,1136.103,62.9,146
53798084.0,81.721,29.1,5.732,3.12,5591.597,6.4,147
2530151.0,3.078,22.0,3.552,2.085,9541.808,13.4,148
12512.0,682.45,,,,12895.635,,149
30034989.0,204.43,25.0,5.809,3.212,2442.804,15.0,150
17501696.0,508.544,43.2,18.779,11.881,48472.545,,151
287800.0,15.342,33.4,9.954,6.489,,,152
5129728.0,18.206,37.9,15.322,9.72,36085.843,,153
